Left	Grapheme	Right	Class	Replacement	Frequency
	aa			aa	10
	uu			uu	1
	ee			ee	5
	oo			oo	1
	ng			ng	2
	'			'	22
	 			 	48
	\;			;	15
	\[			[	3
	\]			]	3
	a			a	198
	b			b	26
	d			d	47
	e			e	134
	g			g	0
	h			h	73
	i			i	86
	k			k	122
	l			l	5
	m			m	17
	n			n	26
	o			o	38
	p			p	45
	r			r	44
	t			t	9
	u			u	90
	w			w	8
	y			y	34
