Left	Grapheme	Right	Class	Replacement
	\'			'
	 			 
	̃			̃
	̇			̇
	\(			(
	\)			)
	;			;
	\[			[
	\]			]
	a			a
	ã			ã
	b			b
	c			c
	d			d
	e			e
	ė			ė
	ẽ			ẽ
	ė̃			ė̃
	ẽ̇			ė̃
	h			h
	i			i
	I			I
	ĩ			ĩ
	k			k
	l			l
	m			m
	n			n
	o			o
	õ			õ
	p			p
	r			r
	t			t
	u			u
	ũ			ũ
	v			v
	w			w
	y			y
