Left	Grapheme	Right	Class	Replacement	Frequency
	'			'	15
	 			 	11
	̃			̃	2
	̇			̇	2
	\(			(	1
	\)			)	1
	;			;	3
	\[			[	1
	\]			]	1
	’			’	7
	a			a	39
	ã			ã	2
	b			b	4
	c			c	1
	d			d	8
	e			e	17
	ė			ė	6
	ẽ			ẽ	2
	ė̃			ė̃	0
	h			h	18
	i			i	24
	ĩ			ĩ	4
	k			k	35
	m			m	6
	n			n	11
	o			o	9
	p			p	19
	r			r	9
	t			t	3
	u			u	16
	u̇			u̇	0
	ũ			ũ	1
	w			w	1
	y			y	2
