Left	Grapheme	Right	Class	Replacement
	ie			i
	dj			j
	aai			aːi
	ai			aːi
	au			aːu
	ei			eːi
	ow			oːu
	ou			oːu
	\-			-
	 			 
	\;			;
	\[			[
	\]			]
	a			a
a	ä			' a
	ä	e$		a '
	b			b
	d			d
	e			e
	é			e
	f			f
	g			k
	h			h
	i			i
	j			j
	k			k
	l			l
	m			m
	n			n
	o			o
	p			p
	r			r
	s			s
	t			t
	u			u
	w			w
	z			z
