entry_id	year	EngganoSource	id	year_id	words	commons	commons_tokenised	ipa	ipa_tokenised
1163	1987	Kähler 1987	187	1987K	kitə ; kito	kitu̇ ; kito	k i t u̇ # ; # k i t o	kitɨ ; kito	k i t ɨ # ; # k i t o
1168	1987	Kähler 1987	190	1987K	kixuo	kixuo	k i x u o	kiçuo	k i ç u o
1170	1987	Kähler 1987	192	1987K	kiʔabuki	ki'abuki	k i ' a b u k i	kiʔabuki	k i ʔ a b u k i
1176	1987	Kähler 1987	193	1987K	kikia	kikia	k i k i a	kikia	k i k i a
1182	1987	Kähler 1987	194	1987K	ehao ; ehaəhəaə ; ehahəao	ehao ; ehau̇hu̇au̇ ; ehahu̇ao	e h a o # ; # e h a u̇ h u̇ a u̇ # ; # e h a h u̇ a o	ehao ; ehaɨhɨaɨ ; ehahɨao	e h a o # ; # e h a ɨ h ɨ a ɨ # ; # e h a h ɨ a o
1184	1987	Kähler 1987	195	1987K	ehedia	ehedia	e h e d i a	ehedia	e h e d i a
1186	1987	Kähler 1987	196	1987K	eʔoki	e'oki	e ' o k i	eʔoki	e ʔ o k i
1191	1987	Kähler 1987	197	1987K	kahoʔoaki	kaho'oaki	k a h o ' o a k i	kahoʔoaki	k a h o ʔ o a k i
1199	1987	Kähler 1987	198	1987K	eporod(o͜)ipo ; eporoʔo͜ipo	eporod(o:)ipo ; eporo'o:ipo	e p o r o d ( o :) i p o # ; # e p o r o ' o: i p o	eporod(o͜)ipo ; eporoʔo͜ipo	e p o r o d ( o͜ ) i p o # ; # e p o r o ʔ o͜ i p o
1203	1987	Kähler 1987	200	1987K	kakĩ́mũ	kakĩ́mũ	k a k ĩ́ m ũ	kakĩ́mũ	k a k ĩ́ m ũ
1206	1987	Kähler 1987	201	1987K	(ápe) a-	(ápe) a-	( á p e ) # a -	(ápe) a-	( á p e ) # a -
1214	1987	Kähler 1987	205	1987K	eʔuehea	e'uehea	e ' u e h e a	eʔuehea	e ʔ u e h e a
1217	1987	Kähler 1987	206	1987K	eãmĩã	eãmĩã	e ã m ĩ ã	eãmĩã	e ã m ĩ ã
1222	1987	Kähler 1987	208	1987K	ebixu	ebixu	e b i x u	ebiçu	e b i ç u
1230	1987	Kähler 1987	211	1987K	(i)yáudu	(i)yáudu	( i ) y á u d u	(i)jáudu	( i ) j á u d u
1232	1987	Kähler 1987	212	1987K	halē ; hadē	halee ; hadee	h a l ee # ; # h a d ee	haleː ; hadeː	h a l eː # ; # h a d eː
1236	1987	Kähler 1987	213	1987K	kahinũã	kahinũã	k a h i n ũ ã	kahinũã	k a h i n ũ ã
1240	1987	Kähler 1987	214	1987K	ka?akəhəa	ka?aku̇hu̇a	k a ? a k u̇ h u̇ a	ka?akɨhɨa	k a ? a k ɨ h ɨ a
1244	1987	Kähler 1987	215	1987K	kipehe ; kapehei	kipehe ; kapehei	k i p e h e # ; # k a p e h e i	kipehe ; kapehei	k i p e h e # ; # k a p e h e i
1250	1987	Kähler 1987	218	1987K	ĩkãhãõ	ĩkãhãõ	ĩ k ã h ã õ	ĩkãhãɔ͂	ĩ k ã h ã ɔ͂
1251	1987	Kähler 1987	219	1987K	ikoʔoki	iko'oki	i k o ' o k i	ikoʔoki	i k o ʔ o k i
1252	1987	Kähler 1987	220	1987K	ĩkũkã	ĩkũkã	ĩ k ũ k ã	ĩkũkã	ĩ k ũ k ã
1254	1987	Kähler 1987	221	1987K	ipou	ipou	i p o u	ipou	i p o u
1255	1987	Kähler 1987	222	1987K	kahã͜ĩkũ	kahã:ĩkũ	k a h ã: ĩ k ũ	kahã͜ĩkũ	k a h ã͜ ĩ k ũ
1266	1987	Kähler 1987	224	1987K	itopo	itopo	i t o p o	itopo	i t o p o
1271	1987	Kähler 1987	225	1987K	eʔokodo	e'okodo	e ' o k o d o	eʔokodo	e ʔ o k o d o
1292	1987	Kähler 1987	231	1987K	a͜iʔĩã	a:i'ĩã	a: i ' ĩ ã	a͜iʔĩã	a͜ i ʔ ĩ ã
1297	1987	Kähler 1987	232	1987K	ʔãmũhõ	'ãmũhõ	' ã m ũ h õ	ʔãmũhɔ͂	ʔ ã m ũ h ɔ͂
1304	1987	Kähler 1987	234	1987K	enãẽ uae	enãẽ uae	e n ã ẽ # u a e	enãẽ uae	e n ã ẽ # u a e
1315	1987	Kähler 1987	235	1987K	ekẽʔẽpã	ekẽ'ẽpã	e k ẽ ' ẽ p ã	ekẽʔẽpã	e k ẽ ʔ ẽ p ã
1323	1987	Kähler 1987	236	1987K	ekahaba	ekahaba	e k a h a b a	ekahaba	e k a h a b a
1324	1987	Kähler 1987	237	1987K	eaʔa(ʔa)da	ea'a('a)da	e a ' a ( ' a ) d a	eaʔa(ʔa)da	e a ʔ a ( ʔ a ) d a
1329	1987	Kähler 1987	238	1987K	kixau	kixau	k i x a u	kiçau	k i ç a u
1340	1987	Kähler 1987	240	1987K	kaʔadahəa͜i	ka'adahu̇a:i	k a ' a d a h u̇ a: i	kaʔadahɨa͜i	k a ʔ a d a h ɨ a͜ i
1346	1987	Kähler 1987	241	1987K	kahedo	kahedo	k a h e d o	kahedo	k a h e d o
1354	1987	Kähler 1987	242	1987K	kaʔakõhõ	ka'akõhõ	k a ' a k õ h õ	kaʔakɔ͂hɔ͂	k a ʔ a k ɔ͂ h ɔ͂
1362	1987	Kähler 1987	243	1987K	kaʔũʔũĩ ; kãʔã͜uĩ	ka'ũ'ũĩ ; kã'ã:uĩ	k a ' ũ ' ũ ĩ # ; # k ã ' ã: u ĩ	kaʔũʔũĩ ; kãʔã͜uĩ	k a ʔ ũ ʔ ũ ĩ # ; # k ã ʔ ã͜ u ĩ
1367	1987	Kähler 1987	245	1987K	eõkõpĩ	eõkõpĩ	e õ k õ p ĩ	eɔ͂kɔ͂pĩ	e ɔ͂ k ɔ͂ p ĩ
1368	1987	Kähler 1987	246	1987K	eaʔãkũ	ea'ãkũ	e a ' ã k ũ	eaʔãkũ	e a ʔ ã k ũ
1376	1987	Kähler 1987	248	1987K	kãʔãkẽnẽ ebaka	kã'ãkẽnẽ ebaka	k ã ' ã k ẽ n ẽ # e b a k a	kãʔãkẽnẽ ebaka	k ã ʔ ã k ẽ n ẽ # e b a k a
1382	1987	Kähler 1987	249	1987K	ekiáki	ekiáki	e k i á k i	ekiáki	e k i á k i
1390	1987	Kähler 1987	250	1987K	kapoi	kapoi	k a p o i	kapoi	k a p o i
1396	1987	Kähler 1987	251	1987K	kikehə́ʔəa	kikehu̇́'u̇a	k i k e h u̇́ ' u̇ a	kikehɨ́ʔɨa	k i k e h ɨ́ ʔ ɨ a
1400	1987	Kähler 1987	252	1987K	kãhãũ	kãhãũ	k ã h ã ũ	kãhãũ	k ã h ã ũ
1409	1987	Kähler 1987	256	1987K	ekaraha	ekaraha	e k a r a h a	ekaraha	e k a r a h a
1415	1987	Kähler 1987	257	1987K	ekudodo	ekudodo	e k u d o d o	ekudodo	e k u d o d o
1419	1987	Kähler 1987	258	1987K	epurudui [ukaraha]	epurudui [ukaraha]	e p u r u d u i # [ u k a r a h a ]	epurudui [ukaraha]	e p u r u d u i # [ u k a r a h a ]
1423	1987	Kähler 1987	260	1987K	ekarepe	ekarepe	e k a r e p e	ekarepe	e k a r e p e
1429	1987	Kähler 1987	262	1987K	puʔuda: ; kipuda ; kapuda ; kababuda	pu'uda: ; kipuda ; kapuda ; kababuda	p u ' u d a : # ; # k i p u d a # ; # k a p u d a # ; # k a b a b u d a	puʔuda: ; kipuda ; kapuda ; kababuda	p u ʔ u d a : # ; # k i p u d a # ; # k a p u d a # ; # k a b a b u d a
