Left	Grapheme	Right	Class	Replacement	Phoneme	Frequency
	oe			u	u	34
	ie			i	i	8
	 			 	 	27
	a			a	a	84
	b			b	b	1
	d			d	d	12
	e			e	e	0
	h			h	h	3
	i			i	i	5
	j			y	j	1
	k			k	k	18
	l			l	l	15
	m			m	m	8
	n			n	n	4
	o			o	o	1
	p			p	p	16
	t			t	t	15
	w			w	w	3
