entry_id	year	EngganoSource	id	year_id	words	commons	commons_tokenised	ipa	ipa_tokenised
2839	<1855	Brouwer <1855	772	<1855	pafoeroe	pafuru	p a f u r u	pafuru	p a f u r u
2850	<1855	Brouwer <1855	776	<1855	kakoliaw	kakOlia:u	k a k O l i a:u	kakɔliau	k a k ɔ l i au
3063	<1855	Brouwer <1855	863	<1855	ko-on	kO-On	k O - O n	kɔ-ɔn	k ɔ - ɔ n
3127	<1855	Brouwer <1855	884	<1855	pajohèka	payOhEka	p a y O h E k a	pajɔhɛka	p a j ɔ h ɛ k a
3213	<1855	Brouwer <1855	910	<1855	kwé-kwé	kwe-kwe	k w e - k w e	kwe-kwe	k w e - k w e
3263	<1855	Brouwer <1855	931	<1855	amimi	amimi	a m i m i	amimi	a m i m i
3370	<1855	Brouwer <1855	969	<1855	[moko-]dobo ; [panoekoe-am]dobo	[mOkO-]dObO ; [panuku-am]dObO	[ m O k O - ] d O b O # ; # [ p a n u k u - a m ] d O b O	[mɔkɔ-]dɔbɔ ; [panuku-am]dɔbɔ	[ m ɔ k ɔ - ] d ɔ b ɔ # ; # [ p a n u k u - a m ] d ɔ b ɔ
3435	<1855	Brouwer <1855	984	<1855	hanoh	hano	h a n o	hano	h a n o
3719	<1855	Brouwer <1855	1101	<1855	praauw	praa:ow	p r a a:o w	praaow	p r a ao w
3875	<1855	Brouwer <1855	1159	<1855	e-au	E'a:o	E ' a:o	ɛʔao	ɛ ʔ ao
3888	<1855	Brouwer <1855	1161	<1855	kefoh	kEfo	k E f o	kɛfo	k ɛ f o
3954	<1855	Brouwer <1855	1190	<1855	lehao	lEha:O	l E h a:O	lɛhaɔ	l ɛ h aɔ
4003	<1855	Brouwer <1855	1213	<1855	poeroe[-takah]	puru[-takah]	p u r u [ - t a k a h ]	puru[-takah]	p u r u [ - t a k a h ]
4038	<1855	Brouwer <1855	1221	<1855	fiko-fiko	fikO-fikO	f i k O - f i k O	fikɔ-fikɔ	f i k ɔ - f i k ɔ
4231	<1855	Brouwer <1855	1296	<1855	kalikoko	kalikOkO	k a l i k O k O	kalikɔkɔ	k a l i k ɔ k ɔ
4369	<1855	Brouwer <1855	1352	<1855	pajih	payix	p a y i x	pajiç	p a j i ç
4413	<1855	Brouwer <1855	1371	<1855	moko[-dobo]	mOkO[-dObO]	m O k O [ - d O b O ]	mɔkɔ[-dɔbɔ]	m ɔ k ɔ [ - d ɔ b ɔ ]
4515	<1855	Brouwer <1855	1409	<1855	koero-bakka	kurO-bakka	k u r O - b a k k a	kurɔ-bakka	k u r ɔ - b a k k a
4565	<1855	Brouwer <1855	1432	<1855	nika-nika(?)	nika-nika(?)	n i k a - n i k a ( ? )	nika-nika(?)	n i k a - n i k a ( ? )
4579	<1855	Brouwer <1855	1436	<1855	kiea	kiia	k ii a	kiːa	k iː a
4607	<1855	Brouwer <1855	1442	<1855	kakoa	kakOa	k a k O a	kakɔa	k a k ɔ a
4628	<1855	Brouwer <1855	1447	<1855	kaha	kaha	k a h a	kaha	k a h a
4744	<1855	Brouwer <1855	1480	<1855	foe-à-noh	fu-a-no	f u - a - n o	fu-a-no	f u - a - n o
4817	<1855	Brouwer <1855	1503	<1855	koleh[-lofoh]	kOle[-lOfOh]	k O l e [ - l O f O h ]	kɔle[-lɔfɔh]	k ɔ l e [ - l ɔ f ɔ h ]
4885	<1855	Brouwer <1855	1528	<1855	oedji	uji	u j i	ud͡ʒi	u d͡ʒ i
4992	<1855	Brouwer <1855	1579	<1855	loehoe	luhu	l u h u	luhu	l u h u
4999	<1855	Brouwer <1855	1581	<1855	oedji	uji	u j i	ud͡ʒi	u d͡ʒ i
5041	<1855	Brouwer <1855	1596	<1855	kaka	kaka	k a k a	kaka	k a k a
5083	<1855	Brouwer <1855	1615	<1855	pfoeai	pfua:i	p f u a:i	pfuai	p f u ai
5116	<1855	Brouwer <1855	1629	<1855	abi-abi	abi-abi	a b i - a b i	abi-abi	a b i - a b i
5326	<1855	Brouwer <1855	1719	<1855	bio-bio	biO-biO	b i O - b i O	biɔ-biɔ	b i ɔ - b i ɔ
5378	<1855	Brouwer <1855	1737	<1855	ho-ah	hO-ah	h O - a h	hɔ-ah	h ɔ - a h
5406	<1855	Brouwer <1855	1746	<1855	ome-ome	OmE-OmE	O m E - O m E	ɔmɛ-ɔmɛ	ɔ m ɛ - ɔ m ɛ
5441	<1855	Brouwer <1855	1759	<1855	[koa-]pidjoe	[kOa-]piju	[ k O a - ] p i j u	[kɔa-]pid͡ʒu	[ k ɔ a - ] p i d͡ʒ u
5512	<1855	Brouwer <1855	1791	<1855	faé	fa:e	f a:e	faɛ	f aɛ
5544	<1855	Brouwer <1855	1802	<1855	nakoh-nakoh	nakOh-nako	n a k O h - n a k o	nakɔh-nako	n a k ɔ h - n a k o
5566	<1855	Brouwer <1855	1805	<1855	biloa	bilOa	b i l O a	bilɔa	b i l ɔ a
5595	<1855	Brouwer <1855	1815	<1855	kokoa	kOkOa	k O k O a	kɔkɔa	k ɔ k ɔ a
5744	<1855	Brouwer <1855	1871	<1855	lofoh-froba	lOfOh-frOba	l O f O h - f r O b a	lɔfɔh-frɔba	l ɔ f ɔ h - f r ɔ b a
6062	<1855	Brouwer <1855	1980	<1855	kakonini	kakOnini	k a k O n i n i	kakɔnini	k a k ɔ n i n i
6298	<1855	Brouwer <1855	2065	<1855	bahoea	bahua	b a h u a	bahua	b a h u a
6313	<1855	Brouwer <1855	2070	<1855	fokeh-fokeh	fOke-fOke	f O k e - f O k e	fɔke-fɔke	f ɔ k e - f ɔ k e
6488	<1855	Brouwer <1855	2146	<1855	foeka	fuka	f u k a	fuka	f u k a
6579	<1855	Brouwer <1855	2177	<1855	amaja	amaya	a m a y a	amaja	a m a j a
6691	<1855	Brouwer <1855	2221	<1855	pokia	pOkia	p O k i a	pɔkia	p ɔ k i a
6978	<1855	Brouwer <1855	2314	<1855	mino-ai	minO-a:i	m i n O - a:i	minɔ-ai	m i n ɔ - ai
6998	<1855	Brouwer <1855	2320	<1855	dioh	dio	d i o	dio	d i o
7022	<1855	Brouwer <1855	2323	<1855	nini	nini	n i n i	nini	n i n i
7063	<1855	Brouwer <1855	2341	<1855	koa[-pidjoe]	kOa[-piju]	k O a [ - p i j u ]	kɔa[-pid͡ʒu]	k ɔ a [ - p i d͡ʒ u ]
7105	<1855	Brouwer <1855	2358	<1855	okoha	OkOha	O k O h a	ɔkɔha	ɔ k ɔ h a
7164	<1855	Brouwer <1855	2382	<1855	kiema	kiima	k ii m a	kiːma	k iː m a
7629	<1855	Brouwer <1855	2547	<1855	adoedoe ; [johé-]adoedoe	adudu ; [yOhe-]adudu	a d u d u # ; # [ y O h e - ] a d u d u	adudu ; [jɔhe-]adudu	a d u d u # ; # [ j ɔ h e - ] a d u d u
