Left	Grapheme	Right	Class	Replacement
	ou			oːu
	oi			oːi
	èi			eːi
	ao			aːo
	aè			aːe
	ai			aːi
	tj			c
	dj			j
	nj			ñ
	oe			u
	ie			i
	k²			'
[aiueo]	ï			' i
[^aiueo]	ï			ï
(ie)	h			x
(ai)	h			x
(?<!a)i	h			x
	\-			-
	 			 
	\(			(
	\)			)
	;			;
	\[			[
	\]			]
	a			a
	b			b
	d			d
	e			e
	é			e
	è			E
	È			E
	ĕ			ė
	f			f
	g			k
	h			h
	i			i
	j			j
	k			k
	K			k
	l			l
	m			m
	n			n
	o			o
	p			p
	r			r
	s			s
	t			t
	u			u
	w			w
