Left	Grapheme	Right	Class	Replacement	Phoneme	Frequency
	'			'	ʔ	15
	 			 	 	11
	̃			̃	̃	2
	̇			̇	̇	2
	\(			(	(	1
	\)			)	)	1
	;			;	;	3
	\[			[	[	1
	\]			]	]	1
	’			’	’	7
	a			a	a	39
	ã			ã	ã	2
	b			b	b	4
	c			c	t͡ʃ	1
	d			d	d	8
	e			e	e	17
	ė			ė	ә	6
	ẽ			ẽ	ẽ	2
	ė̃			ė̃	ə̃	0
	ė̃			ė̃	ə̃	0
	h			h	h	18
	i			i	i	24
	ĩ			ĩ	ĩ	4
	k			k	k	35
	m			m	m	6
	n			n	n	11
	o			o	o	9
	p			p	p	19
	r			r	r	9
	t			t	t	3
	u			u	u	16
	u̇			u̇	ɨ	0
	ũ			ũ	ũ	1
	w			w	w	1
	y			y	j	2
