Left	Grapheme	Right	Class	Replacement
	oh			o
	oe			u
	oé			u
	ou			oːu
	ie			ii
	ié			ii
	dj			j
	eh			e
	éh			e
	ae			aːe
	aé			aːe
	aw			aːu
	au			aːo
	ao			aːO
	ai			aːi
	-			'
	 			 
	(			(
	)			)
	;			;
	?			?
	[			[
	]			]
	a			a
	à			a
	b			b
	d			d
	e			E
	é			e
	è			E
	f			f
	h			h
	i			i
	j			y
	k			k
	l			l
	m			m
	n			n
	o			O
	p			p
	r			r
	s			x
	t			t
	u			u
	w			w
	y			y
