Left	Grapheme	Right	Class	Replacement
	-			-
	 			 
	(			(
	)			)
	.			.
	;			;
	a			a
	ã			ã
	b			b
	d			d
	e			e
	ẽ			ẽ
	ɘ			ɘ
	ɘ̃			ɘ̃
	h			h
	i			i
	ĩ			ĩ
	ɨ			ɨ
	ɨ̃			ɨ̃
	ɨ̯			ɨ̯
	j			j
	k			k
	l			l
	m			m
	n			n
	o			o
	õ			õ
	p			p
	r			r
	s			s
	t			t
	u			u
	ũ			ũ
	x			x
	ʔ			ʔ
