Left	Grapheme	Right	Class	Replacement	Frequency
	\'			'	201
	 			 	102
	̃			̃	3
	̇			̇	1
	\(			(	9
	\)			)	9
	;			;	31
	\[			[	7
	\]			]	7
	a			a	582
	ã			ã	45
	b			b	106
	c			c	7
	d			d	81
	e			e	184
	ė			ė	174
	ẽ			ẽ	44
	ė̃			ė̃	0
	ẽ̇			ė̃	0
	h			h	235
	i			i	340
	I			I	1
	ĩ			ĩ	33
	k			k	569
	l			l	1
	m			m	68
	n			n	154
	o			o	163
	õ			õ	31
	p			p	186
	r			r	134
	t			t	48
	u			u	162
	ũ			ũ	25
	v			v	1
	w			w	9
	y			y	108
