Left	Grapheme	Right	Class	Replacement	Frequency
	aauw			aːo	11
	eeuw			aːu̇	1
	aai			aːi	6
	ai			aːi	19
	dhj			j	0
	oe			u	85
	eu			u̇	1
	ié			i i	0
	ie			i i	65
	ei			eːi	3
	éi			eːi	0
	oi			oːi	2
	dj			j	17
	nj			ñ	4
	tj			c	1
	-			'	10
	 			 	68
	;			;	8
	[			[	9
	]			]	9
	a			a	197
	b			b	45
	d			d	30
	e			E	64
	é			e	16
	f			f	20
	g			g	1
	h			h	40
	i			i	38
	j			y	11
	k			k	150
	l			l	40
	m			m	30
	n			n	59
	o			o	120
	p			p	55
	r			r	19
	t			t	11
	u			u	1
	w			w	10
