Left	Grapheme	Right	Class	Replacement	Frequency
	ie			i	11
	dj			j	1
	aai			aːi	1
	ai			aːi	6
	au			aːu	3
	ei			eːi	3
	ow			oːu	3
	ou			oːu	0
	\-			-	22
	 			 	4
	\;			;	2
	\[			[	2
	\]			]	2
	a			a	115
a	ä			' a	1
	ä	e$		a '	1
	b			b	18
	d			d	15
	e			e	18
	é			e	3
	f			f	9
	g			k	2
	h			h	46
	i			i	17
	j			j	1
	k			k	43
	l			l	22
	m			m	13
	n			n	23
	o			o	20
	p			p	17
	r			r	9
	s			s	1
	t			t	6
	u			u	37
	w			w	2
	z			z	1
