Left	Grapheme	Right	Class	Replacement
	oe			u
	ie			i
	 			 
	a			a
	b			b
	d			d
	e			e
	h			h
	i			i
	j			y
	k			k
	l			l
	m			m
	n			n
	o			o
	p			p
	t			t
	w			w
