Left	Grapheme	Right	Class	Replacement
	aauw			aːo
	eeuw			aːu̇
	aai			aːi
	ai			aːi
	dhj			j
	oe			u
	eu			u̇
	ié			i i
	ie			i i
	ei			eːi
	éi			eːi
	oi			oːi
	dj			j
	nj			ñ
	tj			c
	-			'
	 			 
	;			;
	[			[
	]			]
	a			a
	b			b
	d			d
	e			E
	é			e
	f			f
	g			g
	h			h
	i			i
	j			y
	k			k
	l			l
	m			m
	n			n
	o			o
	p			p
	r			r
	t			t
	u			u
	w			w
