Left	Grapheme	Right	Class	Replacement
	aa			aa
	uu			uu
	ee			ee
	oo			oo
	ng			ng
	'			'
	 			 
	\;			;
	\[			[
	\]			]
	a			a
	b			b
	d			d
	e			e
	g			g
	h			h
	i			i
	k			k
	l			l
	m			m
	n			n
	o			o
	p			p
	r			r
	t			t
	u			u
	w			w
	y			y
