entry_id	year	EngganoSource	id	year_id	words	commons	commons_tokenised	ipa	ipa_tokenised
4580	1855	vd Straten & S. 1855	1436	1855vdS	kiea	kiia	k ii a	kiːa	k iː a
4608	1855	vd Straten & S. 1855	1442	1855vdS	kakko	kakko	k a k k o	kakko	k a k k o
4629	1855	vd Straten & S. 1855	1447	1855vdS	ko-a	ko'a	k o ' a	koʔa	k o ʔ a
4734	1855	vd Straten & S. 1855	1479	1855vdS	panonema	panonEma	p a n o n E m a	panonɛma	p a n o n ɛ m a
4745	1855	vd Straten & S. 1855	1480	1855vdS	tioeano	tiuano	t i u a n o	tiuano	t i u a n o
4819	1855	vd Straten & S. 1855	1503	1855vdS	koli[lopo]	koli[lopo]	k o l i [ l o p o ]	koli[lopo]	k o l i [ l o p o ]
4837	1855	vd Straten & S. 1855	1509	1855vdS	klokko	klokko	k l o k k o	klokko	k l o k k o
4864	1855	vd Straten & S. 1855	1521	1855vdS	kafinai	kafina:i	k a f i n a:i	kafinai	k a f i n ai
4886	1855	vd Straten & S. 1855	1528	1855vdS	oedjie oedjie	ujii ujii	u j ii # u j ii	ud͡ʒiː ud͡ʒiː	u d͡ʒ iː # u d͡ʒ iː
4933	1855	vd Straten & S. 1855	1546	1855vdS	eifa	e:ifa	e:i f a	ɛifa	ɛi f a
4952	1855	vd Straten & S. 1855	1560	1855vdS	boekai	buka:i	b u k a:i	bukai	b u k ai
4993	1855	vd Straten & S. 1855	1579	1855vdS	hoehoe	huhu	h u h u	huhu	h u h u
5001	1855	vd Straten & S. 1855	1581	1855vdS	oedjie oedjie	ujii ujii	u j ii # u j ii	ud͡ʒiː ud͡ʒiː	u d͡ʒ iː # u d͡ʒ iː
5043	1855	vd Straten & S. 1855	1596	1855vdS	kakka	kakka	k a k k a	kakka	k a k k a
5118	1855	vd Straten & S. 1855	1629	1855vdS	abie abie	abii abii	a b ii # a b ii	abiː abiː	a b iː # a b iː
5356	1855	vd Straten & S. 1855	1727	1855vdS	kabehoka	kabEhoka	k a b E h o k a	kabɛhoka	k a b ɛ h o k a
5408	1855	vd Straten & S. 1855	1746	1855vdS	omé omé	ome ome	o m e # o m e	ome ome	o m e # o m e
5442	1855	vd Straten & S. 1855	1759	1855vdS	[koe] pidjoe	[ku] piju	[ k u ] # p i j u	[ku] pid͡ʒu	[ k u ] # p i d͡ʒ u
5514	1855	vd Straten & S. 1855	1791	1855vdS	boe	bu	b u	bu	b u
