Left	Grapheme	Right	Class	Replacement
	a̠a̠			a a
	aa̠			a a
	dj			j
	o̠o̠			O O
	uu			u u
	ee			e e
	õõ			õ õ
	ii			i i
	̠			
	-			-
	 			 
	(			(
	)			)
	:			:
	;			;
	a			a
	ã			ã
	a̠			a
	b			b
	d			d
	e			E
	ē			e e
	e̠			E
	ẽ			ẽ
	ẽ̠			ẽ̠
	ə			ė
	f			f
	h			h
	i			i
	I			i
	í			í
	ĩ			ĩ
	j			y
	k			k
	l			l
	m			m
	n			n
	o			O
	ö			u̇
	ō			o o
	õ			õ
	o̠			O
	õ̠			õ
	p			p
	q			'
	r			r
	t			t
	u			u
	ū			u u
	ũ			ũ
	u̠			u
	w			w
	ẋ			x
	y			y
	ʔ			'
