Left	Grapheme	Right	Class	Replacement
	'			'
	 			 
	̃			̃
	̇			̇
	\(			(
	\)			)
	;			;
	\[			[
	\]			]
	’			’
	a			a
	ã			ã
	b			b
	c			c
	d			d
	e			e
	ė			ė
	ẽ			ẽ
	ė̃			ė̃
	h			h
	i			i
	ĩ			ĩ
	k			k
	m			m
	n			n
	o			o
	p			p
	r			r
	t			t
	u			u
	u̇			u̇
	ũ			ũ
	w			w
	y			y
