Left	Grapheme	Right	Class	Replacement	Frequency
	oe			u	34
	ie			i	8
	 			 	27
	a			a	84
	b			b	1
	d			d	12
	e			e	0
	h			h	3
	i			i	5
	j			y	1
	k			k	18
	l			l	15
	m			m	8
	n			n	4
	o			o	1
	p			p	16
	t			t	15
	w			w	3
