GLOSS	NUMBER
enclosure	500
end (v.)	501
ending	502
enemy	503
Enggano Island	504
Enggano person	505
enough	506
enter	507
equal	508
equal (v.)	509
erect (house)	510
erupt	511
escape	512
estuary	513
even (number)	514
evening	515
evening star	516
every now and then	517
everywhere	518
evil	519
exaggerate	520
examine	521
example	522
exchange	523
exist	524
expensive	525
extend	526
extinguish (fire)	527
eye abscess	528
eyebrow	529
eyelashes	530
eyelid	531
eyelid dermatitis	532
face	533
face down	534
face outwards	535
fall	536
fall out (teeth)	537
family	538
family (plants)	539
far	540
farmer	541
fart (n.)	542
fasten	543
fat (a.)	544
fat (n.)	545
fear (v.)	546
feather	547
feces	548
feel	549
feel sick	550
feel/sense	551
feeling	552
fell (high-stemmed trees)	553
fell (low-stemmed trees)	554
fence	555
fence (small)	556
fern	557
fever	558
few	559
fiber	560
fiber (leaf)	561
field	562
fierce	563
fight (n.)	564
fight (v.)	565
fight against	566
fighting cock	567
file (tool)	568
fill	569
filth	570
finally	571
find	572
fine (a.)	573
fine (penalty)	574
finger bowl	575
finger coral	576
fingernail	577
finished	578
fireplace	579
firewood	580
first	581
firstborn	582
fish (v.)	583
fishbone	584
fishhook	585
fishing net	586
fishing rod	587
fist	588
five hundred	589
fixed	590
flag (n.)	591
flame	592
flannell	593
flat (a.)	594
flat land	595
flavour	596
flea	597
flesh	598
flirt	599
float	600
flood	601
floor	602
floor beam	603
flour	604
flow	605
flower	606
flu	607
flute	608
fly (n.)	609
fly (v.)	610
foam	611
fold	612
follow	613
food	614
footstep	615
for nothing	616
forbidden	617
forehead	618
foreign	619
foreigner	620
forest	621
forge	622
forget	623
form (n.)	624
former	625
fortification	626
forty	627
four hundred	628
fourteen	629
fragrance	630
fragrant	631
free	632
friend	633
frizzy (hair)	634
frog (Rana macrodon)	635
from	636
from above	637
from below	638
from inside	639
from where?	640
frothy	641
fruit	642
fruits	643
fuck	644
full (filled)	645
full (sated)	646
funeral ceremony	647
funeral meal	648
fur	649
gable	650
galangal	651
gape	652
gappy	653
garden	654
garden (half old)	655
gather	656
genitalia (female)	657
genitalia (male)	658
get	659
get sick	660
get up (from sleep)	661
ghost	662
giant clam (Tridacna gigas)	663
giant taro (Alocasia macrorrhizos	664
gift	665
gill	666
ginger	667
girl	668
give	669
give birth	670
give up	671
gloomy	672
gnat	673
Gnetum gnemon	674
go	675
go astray	676
go away	677
go away!	678
go first	679
go home	680
go hunting	681
go octopus hunting	682
go slowly	683
go to bed	684
go to sleep (of limb)	685
go to the side	686
go together	687
go upriver	688
go! (imperative)	689
God	690
gold	691
good	692
goodbye	693
goods/thing	694
gouge	695
grab	696
grain	697
grandchild	698
grandparent	699
grasp	700
grass	701
grasshopper	702
grave	703
graveyard	704
graze	705
great-grandchild	706
great-grandparent	707
greedy	708
green	709
greet	710
grey hair	711
grind	712
grinding stone	713
grope	714
grow (intr.)	715
grudge	716
grunt	717
guard	718
guard (v.)	719
guest	720
gums	721
hack	722
half	723
hammer	724
hammock	725
handicapped	726
handkerchief	727
handle	728
hang (intr.)	729
happy	730
hard (firm)	731
harvest	732
hat	733
hatch	734
hate (n.)	735
hate (v.)	736
have	737
have a child	738
have a meeting	739
have diarrhea	740
have miscarriage	741
have trouble	742
he (deceased)	743
head scarf	744
headache	745
headgear	746
headman	747
headwaters	748
healthy	749
hear	750
heart	751
heat of sun	752
heavy (rain)	753
heel	754
heir	755
heirlooms	756
help (n.)	757
help (v.)	758
hen	759
here	760
heritage	761
heron	762
hey!	763
hide	764
hide (intr.)	765
hide (tr.)	766
high	767
high tide	768
high tide (extreme)	769
his/her	770
hiss (snakes)	771
history	772
hit	773
hoe	774
hoe (v.)	775
hole	776
holed	777
holy place	778
home of the deceased	779
hood	780
hope (n.)	781
horizon (at sea)	782
horn (triton shell used as instrument)	783
horse	784
hot	785
how long ago?	786
how many?	787
how?	788
hug (n.)	789
hug (v.)	790
human being	791
hungry	792
hunt	793
hunt with dog	794
hurt	795
husband	796
husk	797
hut	798
hut for smoking coconut	799
if	800
illness	801
in	802
in front	803
in the evening	804
in-law	805
increase	806
index finger	807
index toe	808
Indian almond (Terminalia catappa)	809
infected wound	810
inflate (intr.)	811
inherit	812
inject	813
inlet	814
inside	815
inside the house	816
install	817
instead	818
instrument for octopus hunting	819
instrument for peeling coconut	820
instrument for shaving coconut	821
intent	822
intestines	823
intimidate	824
Intsia bijuga	825
iron	826
iron (rusty)	827
island	828
jackfruit	829
jackfruit (Artocarpus integrifolia)	830
Jakarta	831
Japanese	832
jaw	833
jealous(y)	834
Jew's harp	835
join	836
judge	837
jump	838
k.o. aquatic animal	839
k.o. bamboo	840
k.o. bird	841
k.o. cake	842
k.o. caterpillar	843
k.o. fabric	844
k.o. fish	845
k.o. fruit tree	846
k.o. grass	847
k.o. grasshopper	848
k.o. kitchen utensil	849
k.o. leech	850
k.o. red bird	851
k.o. sap	852
k.o. sea mollusk	853
k.o. sea shell	854
k.o. sea snail	855
k.o. snail	856
k.o. snake fruit	857
k.o. tree	858
k.o. tree (fragrant)	859
kapok tree (Ceiba pentandra)	860
keep from	861
kettle	862
key	863
kick	864
kin	865
kiss (v.)	866
knead	867
knee	868
knife	869
knit	870
knot	871
know	872
kuat	873
kunai grass (Imperata cylindrica)	874
ladle (bamboo)	875
lake	876
lame	877
lamp	878
land	879
land as salary	880
landscape	881
lap	882
last	883
later	884
layer	885
lazy	886
leaf	887
leaf sheath of betelnut	888
leak (boat)	889
leak (house)	890
lean	891
leave (tr.)	892
leave for (a place)	893
leech	894
left side	895
lend	896
length	897
let	898
let off	899
let's	900
let's go	901
letter	902
lever	903
liana	904
lid (for pot)	905
lie (n.)	906
lie down	907
lie on stomach	908
lie prone	909
lie supine	910
life	911
lift up	912
light (n.)	913
like (prep.)	914
like that	915
like this	916
limb (tree)	917
limestone	918
Limnocharis flava	919
line up (intr.)	920
lips	921
little toe	922
liver	923
livestock	924
livestock of deceased person	925
lizard	926
load (n.)	927
local people	928
locative preposition	929
loincloth	930
long (distance)	931
long (time)	932
look (appear)	933
Lord	934
lose	935
lost	936
louse	937
love (n.)	938
love (v.)	939
love song	940
low	941
low tide	942
lower jaw	943
lung	944
lurk	945
machete	946
made of what?	947
maid	948
main post (in house)	949
maintenance	950
make a loss	951
make fence around	952
make fire	953
making an impression	954
Malay person	955
man	956
mango	957
mangrove	958
many/much	959
marriage	960
marriage (of a man)	961
marriage (of a woman)	962
marriage agreement	963
marrow	964
marry	965
marry (a man)	966
marry (a woman)	967
massage (v.)	968
mast	969
mastwood (Calophyllum tree)	970
mat	971
maybe	972
meaning	973
measles	974
measure (n.)	975
measure (v.)	976
medicine	977
medicine man	978
meet	979
meeting	980
menstruation	981
mention	982
merchant	983
merely	984
message (n.)	985
miaow	986
middle	987
middle finger	988
middle toe	989
midwife	990
millipede	991
minus	992
mirror	993
miscarriage	994
miss (v.)	995
mistaken	996
mister	997
mixed	998
mock	999
molar	1000
mold	1001
money	1002
monitor lizard	1003
monsoon	1004
month	1005
moon eclipse	1006
more	1007
morning	1008
mortar	1009
mosquito	1010
mosquito bite	1011
mottled	1012
mountain	1013
move (intr.)	1014
move (on, away)	1015
move house	1016
move upper body back and forth	1017
mud	1018
muddy	1019
mug	1020
mumble	1021
municipality	1022
mustache	1023
mute	1024
mutual help between individuals	1025
mutual help between many people	1026
my	1027
nail (tool)	1028
naked	1029
name	1030
nape	1031
narrow	1032
naughty	1033
nauseous	1034
navel	1035
near	1036
neck	1037
neck ring	1038
necklace	1039
needle	1040
needle for nets	1041
negligent	1042
nephew/niece	1043
nest	1044
net	1045
new	1046
new residence	1047
newborn child	1048
newcomer	1049
nickname	1050
night	1051
nine hundred	1052
nineteen	1053
ninety	1054
nipa palm	1055
nit	1056
no	1057
nod	1058
noisy	1059
noni	1060
noon	1061
not arrive	1062
not be	1063
not enough	1064
not yet	1065
notch	1066
notched	1067
nourish	1068
now	1069
oar	1070
obey	1071
occiput	1072
offer	1073
often	1074
oil	1075
oil lamp	1076
old man	1077
old woman	1078
older sibling	1079
on that side	1080
on this side	1081
once	1082
Oncosperma tigillarium	1083
one thousand five hundred	1084
one thousand four hundred	1085
one thousand one hundred	1086
one thousand six hundred	1087
one thousand three hundred	1088
one thousand two hundred	1089
one-eyed	1090
only	1091
ooze out	1092
open (a.)	1093
open (v.)	1094
opponent	1095
opposite	1096
order (n.)	1097
order (v.)	1098
orphan	1099
other	1100
our (excl.)	1101
our (incl.)	1102
ours (incl.)	1103
out (fire)	1104
outrigger	1105
outside	1106
over	1107
over there	1108
oversized (clothes)	1109
owl	1110
Padang	1111
paddle (n.)	1112
paddle (v.)	1113
pain in teeth	1114
painful	1115
painful part	1116
pair (n.)	1117
palate	1118
pale	1119
palm (of hand)	1120
palm leaf	1121
palm tree	1122
pandanus	1123
papaya	1124
paper	1125
parakeet	1126
paralyzed	1127
parrot (green)	1128
part	1129
pass (time)	1130
pass by	1131
patch (v.)	1132
path	1133
patient	1134
pay	1135
peace	1136
peck	1137
pectoral fin	1138
pedal	1139
peel (n.)	1140
peeled	1141
pencil	1142
penis	1143
perimeter	1144
pester	1145
pestle	1146
Phoebe	1147
pick up	1148
pick up one by one	1149
picture	1150
pierce	1151
pierce in ears	1152
pig	1153
pig-catching net	1154
pigsty	1155
pike	1156
pile (n.)	1157
pillow	1158
pimple	1159
pincers	1160
pinch	1161
pinched	1162
pineapple	1163
pinkie	1164
pins and needles	1165
pity (v.)	1166
placenta	1167
plain	1168
plait	1169
Planchonia valida	1170
plane (a.)	1171
plank bed	1172
plant (n.)	1173
plant (v.)	1174
plate	1175
plate (wooden)	1176
play	1177
please (v.)	1178
plug (n.)	1179
plunge	1180
plus	1181
point (v.)	1182
pointed	1183
pole	1184
pole (on sampan)	1185
poor (poverty)	1186
population	1187
porch	1188
possessed (by the devil)	1189
possession	1190
pot	1191
pot (earthen)	1192
pound (rice)	1193
pound (v.)	1194
power	1195
pray	1196
pregnant	1197
press	1198
price	1199
prison	1200
progress (v.)	1201
promise (v.)	1202
promontory	1203
protect	1204
protected	1205
prow of boat	1206
Pterospermum	1207
pubic hair	1208
pull	1209
pull out (grass)	1210
pull the trigger	1211
pulse	1212
pumpkin	1213
punch	1214
punishment	1215
pus	1216
push	1217
put	1218
put down	1219
python	1220
quarter	1221
quick	1222
quiet	1223
raft (river vehicle)	1224
rafter	1225
rainbow	1226
rambutan	1227
rarely	1228
rash	1229
rat	1230
rattan	1231
rattan (Calamus manan)	1232
rattan (Calamus penicillatus)	1233
rattan (Calamus scipionum)	1234
rattan (Daemonorops angustifolia)	1235
rattan (thin)	1236
rattan basket	1237
rattan bowl	1238
rattan hat	1239
raw	1240
ray (fish)	1241
ray (light)	1242
ready	1243
really	1244
receive	1245
recovered	1246
red acacia (Vachellia seyal)	1247
reed	1248
regret	1249
reject	1250
relapse (illness)	1251
remember	1252
remodel	1253
remove weeds	1254
repair	1255
repeat	1256
repel	1257
residence	1258
restless	1259
retreat	1260
return	1261
revenge	1262
rheumatics	1263
rhinoceros beetle	1264
rib	1265
rice (cooked)	1266
rice (hulled)	1267
rice barn	1268
rice field (dry)	1269
rice field (wet)	1270
rice kettle	1271
rich	1272
rifle/gun	1273
right away	1274
right side	1275
rim	1276
ring	1277
ring finger	1278
ring toe	1279
ripe	1280
ripe banana	1281
ritual feast	1282
river	1283
river bend	1284
road	1285
roast (v.)	1286
roast chicken (v.)	1287
rob	1288
rocky shore	1289
roll (v.)	1290
roof	1291
roof (palm)	1292
roof (rattan)	1293
roof beam	1294
roof shingle	1295
rooster	1296
root	1297
rope	1298
rose apple	1299
rotten	1300
rough	1301
round	1302
row (n.)	1303
row (v.)	1304
rowboat	1305
rowing bench	1306
rub	1307
rude	1308
