GLOSS	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
jackfruit	829	2655	JACKFRUIT	2
jackfruit (Artocarpus integrifolia)	830	2655	JACKFRUIT	4
Jakarta	831			
Japanese	832			
jaw	833	798	JAW	2
jealous(y)	834	2821	JEALOUS	4
Jew's harp	835	3319	JEW’S HARP	2
join	836	1743	JOIN	2
judge	837	1818	ADJUDICATE	2
jump	838	1829	JUMP	2
k.o. aquatic animal	839	619	ANIMAL	
k.o. bamboo	840	1927	BAMBOO	
k.o. bird	841	937	BIRD	
k.o. cake	842	2408	CAKE	
k.o. caterpillar	843	2247	CATERPILLAR	
k.o. fabric	844	1616	CLOTH	
k.o. fish	845	227	FISH	
k.o. fruit tree	846	906	TREE	
k.o. grass	847	606	GRASS	
k.o. grasshopper	848	607	GRASSHOPPER	
k.o. kitchen utensil	849	1361	TOOL	
k.o. leech	850	2273	LEECH	
k.o. red bird	851	937	BIRD	
k.o. sap	852	345	SAP	
k.o. sea mollusk	853	2785	BIVALVIA (MUSSELS OR OYSTERS)	
k.o. sea shell	854	598	SHELL	
k.o. sea snail	855	1543	SNAIL	
k.o. snail	856	1543	SNAIL	
k.o. snake fruit	857	1507	FRUIT	
k.o. tree	858	906	TREE	
k.o. tree (fragrant)	859	906	TREE	
kapok tree (Ceiba pentandra)	860	2499	KAPOK TREE	4
keep from	861	2762	BLOCK (THE WAY)	
kettle	862	854	KETTLE	2
key	863	1472	KEY	2
kick	864	1135	KICK	2
kin	865	194	FAMILY	4
kiss (v.)	866	578	KISS	1
knead	867	274	KNEAD	2
knee	868	1371	KNEE	2
knife	869	1352	KNIFE	2
knit	870	2905	KNIT	2
knot	871	760	KNOT	2
know	872	3626	KNOW	2
kuat	873	785	STRONG	
kunai grass (Imperata cylindrica)	874	606	GRASS	
ladle (bamboo)	875	2657	LADLE	4
lake	876	624	LAKE	2
lame	877	320	LAME	2
lamp	878	625	LAMP	2
land	879	626	LAND	2
land as salary	880	1122	WAGES	
landscape	881	2342	LANDSCAPE	2
lap	882	3263	LAP	2
last	883	1529	LAST (FINAL)	2
later	884	477	LATE	2
layer	885			
lazy	886	1564	LAZY	2
leaf	887	628	LEAF	2
leaf sheath of betelnut	888	628	LEAF	
leak (boat)	889	2253	DRIP (EMIT LIQUID)	4
leak (house)	890	2253	DRIP (EMIT LIQUID)	4
lean	891	3619	LEAN	2
leave (tr.)	892	1752	LEAVE	2
leave for (a place)	893	1752	LEAVE	
leech	894	2273	LEECH	2
left side	895	244	LEFT	2
lend	896	582	LEND	2
length	897	2537	LENGTH	2
let	898	2896	CAUSE TO (LET)	2
let off	899			
let's	900			
let's go	901			
letter	902	1612	LETTER	2
lever	903			
liana	904	2388	LIANA	2
lid (for pot)	905	2319	LID (COVER, CAP)	4
lie (n.)	906	2826	LIE (FALSEHOOD)	3
lie down	907	215	LIE DOWN	2
lie on stomach	908	215	LIE DOWN	
lie prone	909	215	LIE DOWN	
lie supine	910	215	LIE DOWN	
life	911	210	LIFE	2
lift up	912	501	LIFT	4
light (n.)	913	630	LIGHT (RADIATION)	1
like (prep.)	914	1558	SIMILAR	4
like that	915	1558	SIMILAR	
like this	916	1558	SIMILAR	2
limb (tree)	917	1531	BRANCH	4
limestone	918	668	ROCK	
Limnocharis flava	919			
line up (intr.)	920			
lips	921	478	LIP	2
little toe	922	1389	TOE	
liver	923	1224	LIVER	2
livestock	924	631	LIVESTOCK	2
livestock of deceased person	925	631	LIVESTOCK	
lizard	926	632	LIZARD	2
load (n.)	927	1679	LOAD	3
local people	928	789	PEOPLE	
locative preposition	929	1461	AT	
loincloth	930	1965	LOINCLOTH	2
long (distance)	931	1203	LONG	2
long (time)	932	418	FOR A LONG TIME	4
look (appear)	933	1521	SEEM	4
Lord	934	3153	LORD	2
lose	935	3072	MISPLACE	2
lost	936	3667	LOST	2
louse	937	1392	LOUSE	2
love (n.)	938	3834	LOVE (AFFECTION)	3
love (v.)	939	923	LOVE	1
love song	940	1096	SONG	
low	941	721	LOW	2
low tide	942	1026	LOW TIDE	2
lower jaw	943	798	JAW	
lung	944	688	LUNG	2
lurk	945			
machete	946	2680	MACHETE	2
made of what?	947	3268	QUESTION	
maid	948	255	SERVANT	
main post (in house)	949	281	POST	
maintenance	950	1997	PRESERVE	
make a loss	951			
make fence around	952	1010	BOUNDARY	
make fire	953	737	LIGHT (IGNITE)	
making an impression	954	1863	AMAZING	
Malay person	955	789	PEOPLE	
man	956	2106	MALE PERSON	2
mango	957	2398	MANGO	2
mangrove	958	350	MANGROVE	2
many/much	959	538	MULTITUDE	4
marriage	960	2432	MARRIAGE	2
marriage (of a man)	961	2432	MARRIAGE	4
marriage (of a woman)	962	2432	MARRIAGE	4
marriage agreement	963	3644	AGREEMENT	
marrow	964	1835	MARROW	2
marry	965	203	MARRY	2
marry (a man)	966	2163	MARRY (AS WOMAN)	2
marry (a woman)	967	2164	MARRY (AS MAN)	2
massage (v.)	968	3119	MASSAGE (SOMEBODY)	3
mast	969	184	MAST	2
mastwood (Calophyllum tree)	970	906	TREE	
mat	971	195	MAT	2
maybe	972	2278	PERHAPS	
meaning	973	2950	MEANING	2
measles	974	3389	MEASLES	2
measure (n.)	975	2845	SIZE (OF OBJECT)	4
measure (v.)	976	1506	MEASURE	3
medicine	977	1372	MEDICINE	2
medicine man	978	394	SHAMAN (FOLK HEALER)	2
meet	979	1831	MEET	2
meeting	980	3070	HOLD A MEETING	
menstruation	981	766	MENSTRUATION	2
mention	982	1458	SAY	
merchant	983	1082	MERCHANT	2
merely	984	1580	ONLY	
message (n.)	985	2961	MESSAGE	3
miaow	986			
middle	987	1093	MIDDLE	2
middle finger	988	3387	MIDDLE FINGER	2
middle toe	989	1389	TOE	
midwife	990	3859	MIDWIFE	2
millipede	991			
minus	992			
mirror	993	1171	MIRROR	2
miscarriage	994			
miss (v.)	995	2328	MISS (SOMEBODY)	3
mistaken	996	1390	WRONG	4
mister	997	2106	MALE PERSON	
mixed	998	2017	MIX	
mock	999	2760	MAKE A JOKE	4
molar	1000	1049	MOLAR TOOTH	2
mold	1001	289	MOLD	2
money	1002	1559	MONEY	2
monitor lizard	1003	3017	MONITOR LIZARD	2
monsoon	1004	453	RAINY SEASON	
month	1005	1370	MONTH	2
moon eclipse	1006	2285	ECLIPSE	
more	1007	1992	MORE	2
morning	1008	1339	MORNING	2
mortar	1009	224	MORTAR	2
mosquito	1010	1509	MOSQUITO	2
mosquito bite	1011	1403	BITE	
mottled	1012			
mountain	1013	639	MOUNTAIN	2
move (intr.)	1014	2874	MOVE (ONESELF)	2
move (on, away)	1015	695	GO	4
move house	1016	2874	MOVE (ONESELF)	
move upper body back and forth	1017			
mud	1018	640	MUD	2
muddy	1019	537	TURBID	4
mug	1020	1530	BOWL	2
mumble	1021	128	MUMBLE	2
municipality	1022	3609	TOWN OR VILLAGE	
mustache	1023	1165	MOUSTACHE	2
mute	1024	2320	MUTE PERSON	2
mutual help between individuals	1025	3468	KINDNESS	
mutual help between many people	1026	3468	KINDNESS	
my	1027	2090	MY	2
nail (tool)	1028	502	NAIL (TOOL)	2
naked	1029	590	NAKED	2
name	1030	1405	NAME	2
nape	1031	1347	NAPE (OF NECK)	2
narrow	1032	1267	NARROW	2
naughty	1033	3813	DISOBEDIENT	
nauseous	1034	1847	SICK	
navel	1035	1838	NAVEL	2
near	1036	1942	NEAR	2
neck	1037	1333	NECK	2
neck ring	1038	1961	NECKLACE	
necklace	1039	1961	NECKLACE	2
needle	1040	1382	NEEDLE (FOR SEWING)	2
needle for nets	1041	1382	NEEDLE (FOR SEWING)	
negligent	1042			
nephew/niece	1043	3890	NEPHEW OR NIECE	2
nest	1044	539	NEST	2
net	1045	2963	NET	2
new	1046	1231	NEW	2
new residence	1047	2406	HOME	
newborn child	1048	2099	CHILD	
newcomer	1049	2908	GUEST OR STRANGER	
nickname	1050	3835	BE CALLED BY NAME	
night	1051	1233	NIGHT	2
nine hundred	1052	3520	NINE HUNDRED	2
nineteen	1053	1714	NINETEEN	2
ninety	1054	1724	NINETY	2
nipa palm	1055	1181	PALM TREE	
nit	1056	267	NIT	2
no	1057	1269	NO	2
nod	1058			
noisy	1059	3883	NOISY	2
noni	1060	751	SHRUB	
noon	1061	12	MIDDAY	2
not arrive	1062	1240	NOT	
not be	1063	1240	NOT	
not enough	1064	2329	LACK (NOT HAVE)	
not yet	1065	1240	NOT	
notch	1066			
notched	1067			
nourish	1068	1997	PRESERVE	
now	1069	1376	NOW	2
oar	1070	3137	OAR	2
obey	1071	1635	OBEY	2
occiput	1072	1347	NAPE (OF NECK)	
offer	1073	1309	ASK (INQUIRE)	
often	1074	1852	OFTEN	2
oil	1075	2556	OIL (HYDROPHOBIC LIQUID)	2
oil lamp	1076	2556	OIL (HYDROPHOBIC LIQUID)	
old man	1077	406	OLD MAN	2
old woman	1078	907	OLD WOMAN	2
older sibling	1079	405	OLDER SIBLING	2
on that side	1080	682	SIDE	
on this side	1081	682	SIDE	
once	1082	374	ONE TIME	2
Oncosperma tigillarium	1083			
one thousand five hundred	1084			
one thousand four hundred	1085			
one thousand one hundred	1086			
one thousand six hundred	1087			
one thousand three hundred	1088			
one thousand two hundred	1089	3791	ONE THOUSAND TWO HUNDRED	2
one-eyed	1090			
only	1091	1580	ONLY	2
ooze out	1092	2253	DRIP (EMIT LIQUID)	
open (a.)	1093	3235	OPEN (STATE)	4
open (v.)	1094	1156	OPEN	1
opponent	1095	1358	ENEMY	
opposite	1096	885	OPPOSITE	2
order (n.)	1097	1128	ORDER	4
order (v.)	1098	1128	ORDER	3
orphan	1099	1149	ORPHAN	2
other	1100	197	OTHER	2
our (excl.)	1101	780	OUR	4
our (incl.)	1102	780	OUR	4
ours (incl.)	1103	780	OUR	4
out (fire)	1104	2209	BECOME EXTINGUISHED	
outrigger	1105	416	OUTRIGGER	2
outside	1106	762	OUTSIDE	2
over	1107	1741	ABOVE	2
over there	1108	3411	OVER THERE	2
oversized (clothes)	1109	1202	BIG	
owl	1110	735	OWL	2
Padang	1111	2547	CITY	
paddle (n.)	1112	234	PADDLE	1
paddle (v.)	1113	3668	PADDLE (MOVEMENT)	3
pain in teeth	1114	1783	PAIN	
painful	1115	1129	PAINFUL	2
painful part	1116	1783	PAIN	
pair (n.)	1117	1888	PAIR	3
palate	1118	540	PALATE	2
pale	1119			4
palm (of hand)	1120	1183	PALM OF HAND	2
palm leaf	1121	628	LEAF	
palm tree	1122	1181	PALM TREE	2
pandanus	1123	469	PANDANUS	2
papaya	1124	2445	PAPAYA	2
paper	1125	648	PAPER	2
parakeet	1126	886	PARAKEET	2
paralyzed	1127	1986	DISEASE	
parrot (green)	1128	882	PARROT	4
part	1129	779	PART	2
pass (time)	1130	1951	PASS	2
pass by	1131	558	PASS BY	2
patch (v.)	1132	3550	PATCH	1
path	1133	2252	PATH	2
patient	1134	3884	PATIENT	2
pay	1135	718	PAY	2
peace	1136	1338	PEACE	2
peck	1137	3684	PECK	2
pectoral fin	1138	213	FIN	
pedal	1139			
peel (n.)	1140	2373	SKIN (OF FRUIT)	4
peeled	1141	275	PEEL	
pencil	1142	2578	PENCIL	2
penis	1143	1222	PENIS	2
perimeter	1144	863	EDGE	
pester	1145	2869	BOTHER (HARASS)	4
pestle	1146	225	PESTLE	2
Phoebe	1147	906	TREE	
pick up	1148	371	PICK UP	2
pick up one by one	1149	371	PICK UP	
picture	1150	2401	PICTURE	2
pierce	1151	398	PIERCE	2
pierce in ears	1152	398	PIERCE	
pig	1153	1337	PIG	2
pig-catching net	1154	2653	NET (FOR CATCHING)	
pigsty	1155	3369	PIGSTY	4
pike	1156	2967	PIKE (FISH)	2
pile (n.)	1157	2984	HEAP	4
pillow	1158	1044	PILLOW	2
pimple	1159	1809	PIMPLE	2
pincers	1160	2812	CRAB CLAW	4
pinch	1161	378	PINCH	2
pinched	1162	378	PINCH	
pineapple	1163	2440	PINEAPPLE	2
pinkie	1164	2774	LITTLE FINGER	
pins and needles	1165			
pity (v.)	1166	1141	PITY	4
placenta	1167	3388	PLACENTA	2
plain	1168	652	PLAIN	2
plait	1169	1729	PLAIT OR BRAID OR WEAVE	2
Planchonia valida	1170	653	PLANT (VEGETATION)	
plane (a.)	1171	1633	FLAT	
plank bed	1172	1663	BED	
plant (n.)	1173	653	PLANT (VEGETATION)	3
plant (v.)	1174	1486	PLANT (SOMETHING)	3
plate	1175	480	PLATE	2
plate (wooden)	1176	480	PLATE	4
play	1177	1413	PLAY	2
please (v.)	1178	1828	ASK (REQUEST)	
plug (n.)	1179	1361	TOOL	
plunge	1180	119	DIVE	4
plus	1181			
point (v.)	1182	2669	POINT (WITH FINGER)	3
pointed	1183	372	POINTED	2
pole	1184	281	POST	2
pole (on sampan)	1185	281	POST	4
poor (poverty)	1186	1674	POOR	4
population	1187	789	PEOPLE	
porch	1188	3269	PORCH	2
possessed (by the devil)	1189			
possession	1190	3860	POSSESSIONS	
pot	1191	1462	POT	2
pot (earthen)	1192	2055	CLAY POT	4
pound (rice)	1193	3768	POUND (FOOD)	2
pound (v.)	1194	354	POUND	1
power	1195	2526	POWER	2
pray	1196	24	PRAY	2
pregnant	1197	1123	PREGNANT	2
press	1198	1913	PRESS	2
price	1199	657	PRICE	2
prison	1200	1281	PRISON	2
progress (v.)	1201	2912	FORWARD	
promise (v.)	1202	1675	PROMISE	3
promontory	1203	1662	CAPE	
protect	1204	2900	PROTECT	2
protected	1205	2900	PROTECT	
prow of boat	1206			
Pterospermum	1207	653	PLANT (VEGETATION)	
pubic hair	1208	36	PUBIC HAIR	2
pull	1209	1455	PULL	2
pull out (grass)	1210	2325	PULL OUT	4
pull the trigger	1211	1455	PULL	
pulse	1212	3267	PULSE	2
pumpkin	1213	864	PUMPKIN	2
punch	1214	2133	STRIKE OR BEAT	
punishment	1215	390	PUNISHMENT	2
pus	1216	1808	PUS	2
push	1217	1452	PUSH	2
put	1218	998	PUT	2
put down	1219	998	PUT	2
python	1220	1563	PYTHON	2
quarter	1221			
quick	1222	1631	FAST	2
quiet	1223	1314	QUIET	2
raft (river vehicle)	1224	1664	RAFT	4
rafter	1225	829	RAFTER	2
rainbow	1226	1733	RAINBOW	2
rambutan	1227	1507	FRUIT	
rarely	1228	1544	SOMETIMES	
rash	1229			
rat	1230	1490	RAT	2
rattan	1231	2497	RATTAN	2
rattan (Calamus manan)	1232	2497	RATTAN	4
rattan (Calamus penicillatus)	1233	2497	RATTAN	4
rattan (Calamus scipionum)	1234	2497	RATTAN	4
rattan (Daemonorops angustifolia)	1235	2497	RATTAN	4
rattan (thin)	1236	2497	RATTAN	4
rattan basket	1237	1539	BASKET	
rattan bowl	1238	1530	BOWL	
rattan hat	1239	771	HAT	
raw	1240	1959	RAW	2
ray (fish)	1241	227	FISH	
ray (light)	1242	630	LIGHT (RADIATION)	
ready	1243	790	READY	2
really	1244	1657	TRUE	4
receive	1245	694	GET	2
recovered	1246	1978	RECOVER	
red acacia (Vachellia seyal)	1247	906	TREE	
reed	1248	659	REED	2
regret	1249	1875	REGRET	2
reject	1250	49	REFUSE	4
relapse (illness)	1251	1986	DISEASE	
remember	1252	707	REMEMBER	2
remodel	1253			
remove weeds	1254	3548	PULL UP WEEDS	
repair	1255	2243	REPAIR	2
repeat	1256	880	REPEAT	2
repel	1257	30	DISPEL	
residence	1258	2406	HOME	4
restless	1259	3975	NERVOUS	
retreat	1260	421	RETREAT	2
return	1261	581	COME BACK	2
revenge	1262	495	REVENGE	2
rheumatics	1263	1986	DISEASE	
rhinoceros beetle	1264	2242	BEETLE	
rib	1265	801	RIB	2
rice (cooked)	1266	1191	COOKED RICE	2
rice (hulled)	1267	3289	UNCOOKED RICE	4
rice barn	1268	3025	BARN OR SHED	
rice field (dry)	1269	140	PADDY FIELD	4
rice field (wet)	1270	140	PADDY FIELD	4
rice kettle	1271	854	KETTLE	
rich	1272	712	RICH	2
rifle/gun	1273	1566	GUN	4
right away	1274	1963	IMMEDIATELY	4
right side	1275	1019	RIGHT	2
rim	1276	863	EDGE	4
ring	1277	1374	RING	2
ring finger	1278	1303	FINGER	
ring toe	1279	1389	TOE	
ripe	1280	178	RIPE	2
ripe banana	1281	868	BANANA	
ritual feast	1282	131	FESTIVAL	
river	1283	666	RIVER	2
river bend	1284	1698	CURVED	
road	1285	667	ROAD	2
roast (v.)	1286	1962	ROAST (SOMETHING)	3
roast chicken (v.)	1287	1962	ROAST (SOMETHING)	
rob	1288	2073	ROB (VERB)	2
rocky shore	1289	3465	SHORE OF SEA	
roll (v.)	1290	827	ROLL	3
roof	1291	769	ROOF	2
roof (palm)	1292	2100	THATCH OR ROOF	4
roof (rattan)	1293	2100	THATCH OR ROOF	4
roof beam	1294	1132	BEAM	
roof shingle	1295	279	THATCH	
rooster	1296	1511	ROOSTER	2
root	1297	670	ROOT	2
rope	1298	1218	ROPE	2
rose apple	1299	1320	APPLE	
rotten	1300	1728	ROTTEN	2
rough	1301	1923	ROUGH	2
round	1302	2303	SPHERICAL (ROUND IN THREE DIMENSIONS)	2
row (n.)	1303	1048	LINE	4
row (v.)	1304	1849	ROW	3
rowboat	1305	1844	BOAT	
rowing bench	1306	2584	BENCH	
rub	1307	1449	RUB	2
rude	1308	1412	RUDE	2
ruined	1309	680	BREAK (DESTROY OR GET DESTROYED)	4
run	1310	1519	RUN	2
rust	1311	3064	RUST	2
saber	1312	1535	SWORD	
sack	1313	2990	SACK	2
sacred place	1314	3335	SACRED GROVE	
sago	1315	2270	SAGO	2
sagu palm	1316	2372	SAGO PALM	
sail (n.)	1317	786	SAILCLOTH	1
sail (v.)	1318	787	SAIL	3
saliva	1319	1503	SALIVA	2
salt	1320	1274	SALT	2
saltwater	1321	948	WATER	
salty	1322	1091	SALTY	2
same	1323	200	SAME	2
sand	1324	671	SAND	2
sandbank	1325			
sap	1326	345	SAP	2
sarong	1327	2413	SARONG	2
satisfied	1328	1495	HAPPY	4
save	1329	2008	RESCUE	2
saw (tool)	1330	1948	SAW	4
say	1331	1458	SAY	2
scabies	1332	3172	SCABIES	2
scale (for weighing)	1333	2783	SCALES (MEASURE INSTRUMENT)	4
scale (of fish/snake)	1334	266	SCALE	4
scare	1335	252	FRIGHTEN	2
scary	1336	528	DREADFUL	
Schizostachyum brachycladum	1337	1927	BAMBOO	
scissors	1338	356	SHEARS	2
scorched	1339	1428	BURNING	
scorpion	1340	1538	SCORPION	2
scrape	1341	1767	SCRAPE	2
scratch	1342	1436	SCRATCH	2
scythe (v.)	1343	1432	CUT	4
sea	1344	1474	SEA	2
sea cucumber	1345			
sea form	1346	1768	FOAM	
sea hibiscus (Hibiscus tiliaceus)	1347	239	FLOWER	
seagull	1348	950	SEAGULL	2
seat	1349	1476	CHAIR	2
second	1350	1384	SECOND	2
seed	1351	714	SEED	2
seek	1352	1468	LOOK FOR	2
sell	1353	1571	SELL	2
send	1354	1127	SEND	2
send away	1355	1127	SEND	
sermon	1356	3167	SERMON	2
set (sun, moon)	1357	160	SET (HEAVENLY BODIES)	4
set fire (for cooking)	1358	737	LIGHT (IGNITE)	
set of teeth	1359	1380	TOOTH	
seven hundred	1360	3518	SEVEN HUNDRED	2
seventeen	1361	2453	SEVENTEEN	2
seventy	1362	1721	SEVENTY	2
sew	1363	1457	SEW	2
shadow	1364	1388	SHADE	2
shake (intr.)	1365	1909	SHAKE	4
shake (tr.)	1366	1909	SHAKE	2
shallow	1367	193	SHALLOW	2
shampoo	1368	788	SOAP	
shark	1369	1110	SHARK	2
sharp	1370	1396	SHARP	2
sharpen	1371	251	SHARPEN (SOMETHING)	2
shattered	1372	680	BREAK (DESTROY OR GET DESTROYED)	
shave	1373	231	SHAVE	2
shave (beard)	1374	231	SHAVE	2
shavings	1375	151	RAZOR	
shield	1376	1064	SHIELD	2
shin	1377	186	SHIN	2
shine on	1378	708	SHINE	
shipwreck (v.)	1379	838	REMAINS	
shirt	1380	1622	SHIRT	2
shit (v.)	1381	676	SHIT (DEFECATE)	3
shiver (from fever)	1382	52	SHIVER	4
shock (v.)	1383	1572	SURPRISED	
shoot	1384	1172	SHOOT	2
shore	1385	3465	SHORE OF SEA	2
short	1386	1645	SHORT	2
short (time)	1387	3312	SHORT (TIME)	2
shoulder	1388	1482	SHOULDER	2
shoulderblade	1389	172	SHOULDERBLADE	2
shout	1390	715	SHOUT	2
show	1391	1039	SHOW	2
shrimp	1392	2349	SHRIMP	2
shrink	1393	54	SHRINK	2
shut in (a.)	1394	589	CLOSED	
shut up!	1395	1314	QUIET	
shy	1396	487	SHY	2
sibling	1397	1640	SIBLING	2
sick	1398	1847	SICK	2
side root	1399	670	ROOT	
sideways	1400			
sigh	1401			
sign (n.)	1402	1720	SIGN	3
silk	1403	1641	SILK	2
silly	1404			
silver	1405	759	SILVER	2
sing	1406	1261	SING	2
sing a love song	1407	1261	SING	
single	1408			
sink	1409	1088	SINK (DESCEND)	2
sister	1410	1263	SISTER	2
sit	1411	1416	SIT	2
sit cross-legged	1412	1416	SIT	
sitting room	1413	1450	ROOM	
six hundred	1414	3517	SIX HUNDRED	2
sixteen	1415	2454	SIXTEEN	2
sixty	1416	1718	SIXTY	2
skein	1417	760	KNOT	
skeleton	1418	2668	SKELETON	2
skew	1419	3075	SLANTED	
skewed	1420	3075	SLANTED	
skin	1421	763	SKIN	2
skinny	1422	1400	THIN (SLIM)	2
skull	1423	1605	SKULL	2
sky	1424	1732	SKY	2
slack	1425	2506	LOOSE	2
slanting	1426	3075	SLANTED	2
slap	1427	3160	SLAP	2
slap in face (n.)	1428	3160	SLAP	
slash (v.)	1429	2156	CUT (WITH KNIFE)	4
slaughter	1430	1796	SLAUGHTER	2
slave	1431	812	SLAVE	2
sleepy	1432	3620	SLEEPY	2
slide off	1433	1324	SLIP	
slim	1434	1400	THIN (SLIM)	2
slippery	1435	3702	SLIPPERY	2
slow	1436	701	SLOW	2
slurp	1437	1401	DRINK	
small	1438	1246	SMALL	2
smallpox	1439	1054	SMALLPOX	2
smart	1440	2530	SMART	2
smell	1441	1587	SMELL (STINK)	2
smile	1442	1451	SMILE	2
smoke (n.)	1443	778	SMOKE (EXHAUST)	1
smoke (v.)	1444	2859	SMOKE (EMIT SMOKE)	3
snail	1445	1543	SNAIL	2
snake (river)	1446	730	SNAKE	4
snake (small)	1447	730	SNAKE	4
snake bite	1448	1403	BITE	
snarl	1449			
snatch (v.)	1450	855	SEIZE	4
sneeze	1451	1621	SNEEZE	2
sniff	1452	375	SNIFF	2
snot	1453	208	NASAL MUCUS (SNOT)	2
so that	1454			
soak	1455	2069	SOAK (VERB)	2
soft	1456	1856	SOFT	2
sole (of foot)	1457	2666	SOLE (FOOT)	2
solid	1458	3003	SOLID	2
some	1459	1241	SOME	2
sometimes	1460	1544	SOMETIMES	2
son-in-law	1461	1056	SON-IN-LAW	2
soon	1462	703	SOON	2
sore	1463	3708	FEELING SORE	2
sound	1464	1811	SOUND OR NOISE	2
sour	1465	1906	SOUR	2
sow (v.)	1466	748	SOW SEEDS	3
space under house	1467	2632	AREA UNDER HOUSE	2
spacious	1468	2531	BROAD	4
spear (n.)	1469	945	SPEAR	1
spear/lance	1470	945	SPEAR	4
speck	1471	519	SPOT	
speech	1472	1115	SPEECH	2
spell (n.)/exorcism	1473			
sperm	1474	1505	SPERM	2
spices	1475			
spider	1476	843	SPIDER	2
spilled	1477	3130	SPILL (SOMETHING)	
spin (thread)	1478	121	SPIN	4
spine (backbone)	1479	805	SPINE	4
spirit of earthquake	1480	53	SPIRIT	
spirit of the beach	1481	53	SPIRIT	
spirit of the village	1482	53	SPIRIT	
spirit of the water	1483	53	SPIRIT	
spit	1484	1440	SPIT	2
splash	1485	365	SPLASH	2
split	1486	1437	SPLIT	2
spotted (face)	1487	530	FRECKLE	
spout (v.)	1488	2858	STREAM (FLOW CONTINUOUSLY)	
spread out	1489	38	SPREAD OUT	2
spring	1490	849	SPRING (OF WATER)	2
sprout	1491	3358	SPROUT (SHOOT)	2
square (a.)	1492	2757	ANGULAR (SQUAREFORMED)	4
square (yard)	1493	850	SQUARE	4
squat	1494	296	CROUCH	2
squeeze	1495	1414	SQUEEZE	2
squint	1496	87	SQUINT-EYED	
squirt	1497	2858	STREAM (FLOW CONTINUOUSLY)	
stab	1498	1434	STAB	2
stacked	1499	1576	PILE UP	
stain (n.)	1500	519	SPOT	4
stairs	1501	2689	LADDER OR STAIRS	2
stalk	1502	2628	PLANT STEM	2
stalk (of fruit)	1503	2628	PLANT STEM	4
stammer	1504	1866	STUTTER	4
stand up	1505	570	STAND UP	2
starve	1506	1533	BE HUNGRY	
stay	1507	987	REMAIN	2
steam	1508	1193	STEAM	2
steamboat	1509	1844	BOAT	
steering wheel	1510			
stem	1511	2628	PLANT STEM	2
stench	1512	3704	ODOR (SMELL)	4
step (n.)	1513	1158	STEP	1
step on	1514	575	TREAD	2
step- (family)	1515			4
stick (n.)	1516	1295	STICK	1
stick (v.)	1517	254	STICKING	3
stick out tongue	1518	1452	PUSH	
sticky	1519	3703	STICKY	2
stiff	1520			
still (adv.)	1521	2919	STILL (CONTINUING)	4
stink	1522	1587	SMELL (STINK)	2
stir	1523	696	STIR	2
stomach	1524	819	STOMACH	2
stomach ache	1525	1815	ACHE	
stomp	1526	575	TREAD	
stop by	1527	1377	VISIT	
store (v.)	1528	3655	STORE UP	4
storm	1529	858	STORM	2
straddle	1530			
straight	1531	1404	STRAIGHT	2
straight through	1532	97	THROUGH	
strait	1533	1661	STRAIT	2
stretch out	1534	214	STRETCH	4
strew	1535	572	STREW	4
strike (of lightning)	1536	353	STRIKE	4
string (of coconut)	1537	2724	CHAIN (CLASSIFIER)	4
strong	1538	785	STRONG	2
strong (well-built)	1539	785	STRONG	4
stump	1540	241	TREE STUMP	2
stupid	1541	1518	STUPID	2
suck	1542	1421	SUCK	2
suck at breast	1543	2472	SUCKLE (BREASTFEED, NURSE)	4
suffocate	1544	1494	DIE	
sugar palm (Arenga pinnata)	1545	3029	SUGAR PALM	4
sugarcane	1546	146	SUGAR CANE	2
sulphur	1547	3386	SULPHUR	2
sundry	1548			
sunken	1549	1088	SINK (DESCEND)	
sunken (eyes)	1550	1088	SINK (DESCEND)	
surf	1551	3132	SURF	2
surprised	1552	1572	SURPRISED	2
swallow (v.)	1553	897	SWALLOW	1
swamp	1554	1145	SWAMP	2
swear	1555	1939	SWEAR	2
sweat (n.)	1556	125	SWEAT (SUBSTANCE)	3
sweep (up)	1557	230	SWEEP	4
swell	1558	1573	SWELL	2
swim	1559	1439	SWIM	2
swimming wood at cast net	1560	1803	WOOD	
swollen	1561	1573	SWELL	2
sword	1562	1535	SWORD	2
table	1563	1775	TABLE	2
taboo	1564			
tail	1565	1220	TAIL	2
tailbone	1566	1394	BONE	
take	1567	1749	TAKE	2
take on one's lap	1568	1444	TURN AROUND	
talk	1569	2708	TALK	2
talk in sleep	1570			
tame	1571	2838	TAME	2
taproot	1572	670	ROOT	
taro	1573	351	TARO	2
teach	1574	709	TEACH	2
tear (n.)	1575	1651	TEAR (OF EYE)	3
tear (v.)	1576	1735	TEAR (SHRED)	1
tell lies	1577	601	LIE (MISLEAD)	4
temple (body part)	1578	1604	TEMPLES	4
ten thousand	1579	2078	TEN THOUSAND	2
tendon	1580	1137	TENDON	2
tense	1581	3053	TIGHT	2
termite	1582	883	TERMITE	2
testimony	1583			
that	1584	78	THAT	2
that's enough!	1585	1881	ENOUGH	
thatch	1586	279	THATCH	2
their	1587	2400	THEIR	2
then (past)	1588	2921	THEN	4
there	1589	1937	THERE	2
there is not	1590	2329	LACK (NOT HAVE)	2
they	1591	817	THEY	2
thick	1592	1244	THICK	2
thief	1593	1160	THIEF	2
thigh	1594	471	UPPER LEG (THIGH)	2
